"","TranscritID","Weight formula","mRNA formula","Mean mRNA concentration","Mean protein concentration","Starting protein concentration value","ks","Normalized ks","kd","Fitting error value","Fitting error score","Fitting error message","Optimization error score","Optimization error message"
"2675","Acc25745.1","Double sigmoid","3_deg_log",0.293277927581573,1623.22159906209,0.743238198748964,10.6860613431579,59144.735930704,6.56753724553621,0.721359574768201,-5,"Inaccurate fit",8,"Optimisation nearly converges to 3 identical values"
"2676","Acc25749.1","Double sigmoid","3_deg_log",0.776913251128067,20543.337034806,2.64868071563227,6.27216280843147,165850.118174317,3.21848565410835,0.151218518574335,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"2677","Acc25750.1","Double sigmoid","3_deg_log",0.192889201417614,22767.5191776893,3.17464808644734,2.69479519904694,318077.947979122,1.10651529817702,0.208847208876667,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2678","Acc25754.1","Double sigmoid","3_deg_log",0.284958510811507,15450.7797004346,2.98576874232697,5.03411796490714,272955.692533187,2.12766775404231,0.368977171535983,2,"Average fit",10,"Optimisation converges to 3 indentical values"
"2679","Acc25761.1","Double sigmoid","3_deg_log",3.46006501429944,31249.9254831259,3.18535531742103,3.07779013609953,27797.3714390693,1.19148354047227,0.385768545127515,2,"Average fit",10,"Optimisation converges to 3 indentical values"
"2680","Acc25766.1","Double sigmoid","3_deg_log",0.672957460987348,28689.7396416308,3.10227004528597,6.10416328353726,260234.658930364,3.37655349988662,0.361914881661455,2,"Average fit",10,"Optimisation converges to 3 indentical values"
"2681","Acc25767.1","Double sigmoid","3_deg_log",0.154854743522832,17498.9599634927,2.96928279842669,11.9728665979897,1352962.83781949,8.52132164434142,0.273237583430374,4,"Pretty accurate fit",6,"Optimisation converges to 2 indentical values"
"2682","Acc25774.1","Double sigmoid","3_deg_log",1.50232476205131,149224.990227113,3.3881573532559,13.1749062164476,1308655.29281968,8.61747786635177,0.170327488149024,6,"Accurate fit",1,"Optimisation converges to different values"
"2683","Acc25791.1","Double sigmoid","3_deg_log",0.947646948713098,17051.8145103702,2.05068350334312,6.08223952545087,109442.88939723,2.04385106533374,0.15322320077843,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"2684","Acc25794.1","Double sigmoid","3_deg_log",0.213289626589056,18769.0455267399,3.92210997142669,2.27090309638638,199834.770609879,0.80018364171279,0.294612480340157,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2685","Acc25796.1","Double sigmoid","3_deg_log",1.02851858064179,3277.96863410493,3.58204194525914,5.79341343341446,18464.0587701242,3.5851095676346,0.19055725105177,6,"Accurate fit",6,"Optimisation converges to 2 indentical values"
"2686","Acc25809.1","Double sigmoid","3_deg_log",0.393118939493311,6342.55745829287,2.76991636322491,4.98566803238249,80438.4698537221,2.4436889109213,0.214032272172921,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2687","Acc25816.1","Double sigmoid","3_deg_log",1.66873014586408,29189.7859580547,2.88428397029973,4.33325289824044,75798.1899681348,2.02157804031521,0.285428434376536,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2688","Acc25822.1","Double sigmoid","3_deg_log",0.181538879585888,8287.19613974202,3.14475871245053,2.55590913325372,116676.495695846,1.30330996563268,0.212153548243545,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2689","Acc25830.1","Double sigmoid","3_deg_log",2.09216424649673,34722.4045789224,2.33269040856634,3.9419182864093,65421.6712607273,1.48548523944001,0.325261074807289,3,"Average fit",10,"Optimisation converges to 3 indentical values"
