Gene,Transcrit
Acc14313,Acc14313.1
Acc14314,Acc14314.1
Acc14315,Acc14315.1
Acc14316,Acc14316.1
Acc14317,Acc14317.1
Acc14318,Acc14318.1
Acc14319,Acc14319.1
Acc14320,Acc14320.1
Acc14321,Acc14321.1
Acc14322,Acc14322.1
Acc14323,Acc14323.1
Acc14324,Acc14324.1
Acc14325,Acc14325.1
Acc14326,Acc14326.1
Acc14327,Acc14327.1
Acc14328,Acc14328.1
Acc14329,Acc14329.1
Acc14330,Acc14330.1
Acc14331,Acc14331.1
Acc14332,Acc14332.1
Acc14333,Acc14333.1
Acc14334,Acc14334.1
Acc14335,Acc14335.1
Acc14336,Acc14336.1
Acc14337,Acc14337.1
Acc14338,Acc14338.1
Acc14339,Acc14339.1
Acc14340,Acc14340.1
Acc14341,Acc14341.1
Acc14342,Acc14342.1
Acc14343,Acc14343.1
Acc14344,Acc14344.1
Acc14345,Acc14345.1
Acc14346,Acc14346.1
Acc14347,Acc14347.1
Acc14348,Acc14348.1
Acc14349,Acc14349.1
Acc14350,Acc14350.1
Acc14351,Acc14351.1
Acc14352,Acc14352.1
Acc14353,Acc14353.1
Acc14354,Acc14354.1
Acc14355,Acc14355.1
Acc14356,Acc14356.1
Acc14357,Acc14357.1
Acc14358,Acc14358.1
Acc14359,Acc14359.1
Acc14360,Acc14360.1
Acc14361,Acc14361.1
Acc14362,Acc14362.1
Acc14363,Acc14363.1
Acc14364,Acc14364.1
Acc14365,Acc14365.1
Acc14366,Acc14366.1
Acc14367,Acc14367.1
Acc14368,Acc14368.1
Acc14369,Acc14369.1
Acc14370,Acc14370.1
Acc14371,Acc14371.1
Acc14372,Acc14372.1
Acc14373,Acc14373.1
Acc14374,Acc14374.1
Acc14375,Acc14375.1
Acc14376,Acc14376.1
Acc14377,Acc14377.1
Acc14378,Acc14378.1
Acc14379,Acc14379.1
Acc14380,Acc14380.1
Acc14381,Acc14381.1
Acc14382,Acc14382.1
Acc14383,Acc14383.1
Acc14384,Acc14384.1
Acc14387,Acc14387.1
Acc14388,Acc14388.1
Acc14389,Acc14389.1
Acc14390,Acc14390.1
Acc14391,Acc14391.1
Acc14392,Acc14392.1
Acc14393,Acc14393.1
Acc14394,Acc14394.1
Acc14395,Acc14395.1
Acc14396,Acc14396.1
Acc14397,Acc14397.1
Acc14398,Acc14398.1
Acc14399,Acc14399.1
Acc14400,Acc14400.1
Acc14401,Acc14401.1
Acc14402,Acc14402.1
Acc14403,Acc14403.1
Acc14404,Acc14404.1
Acc14405,Acc14405.1
Acc14406,Acc14406.1
Acc14407,Acc14407.1
Acc14408,Acc14408.1
Acc14409,Acc14409.1
Acc14410,Acc14410.1
Acc14411,Acc14411.1
Acc14412,Acc14412.1
Acc14413,Acc14413.1
Acc14414,Acc14414.1
Acc14415,Acc14415.1
Acc14416,Acc14416.1
Acc14417,Acc14417.1
Acc14419,Acc14419.1
Acc14420,Acc14420.1
Acc14421,Acc14421.1
Acc14422,Acc14422.1
Acc14423,Acc14423.1
Acc14424,Acc14424.1
Acc14425,Acc14425.1
Acc14426,Acc14426.1
Acc14427,Acc14427.1
Acc14428,Acc14428.1
Acc14429,Acc14429.1
Acc14430,Acc14430.1
Acc14431,Acc14431.1
Acc14432,Acc14432.1
Acc14433,Acc14433.1
Acc14434,Acc14434.1
Acc14435,Acc14435.1
Acc14436,Acc14436.1
Acc14437,Acc14437.1
Acc14438,Acc14438.1
Acc14438,Acc14438.2
Acc14439,Acc14439.1
Acc14440,Acc14440.1
Acc14441,Acc14441.1
Acc14442,Acc14442.1
Acc14443,Acc14443.1
Acc14444,Acc14444.1
Acc14445,Acc14445.1
Acc14446,Acc14446.1
Acc14448,Acc14448.1
Acc14449,Acc14449.1
Acc14450,Acc14450.1
Acc14451,Acc14451.1
Acc14452,Acc14452.1
Acc14453,Acc14453.1
Acc14454,Acc14454.1
Acc14455,Acc14455.1
Acc14456,Acc14456.1
Acc14457,Acc14457.1
Acc14458,Acc14458.1
Acc14459,Acc14459.1
Acc14460,Acc14460.1
Acc14461,Acc14461.1
Acc14462,Acc14462.1
Acc14463,Acc14463.1
Acc14464,Acc14464.1
Acc14465,Acc14465.1
Acc14466,Acc14466.1
Acc14467,Acc14467.1
Acc14468,Acc14468.1
Acc14469,Acc14469.1
Acc14470,Acc14470.1
Acc14471,Acc14471.1
Acc14472,Acc14472.1
Acc14473,Acc14473.1
Acc14474,Acc14474.1
Acc14475,Acc14475.1
Acc14476,Acc14476.1
Acc14477,Acc14477.1
Acc14478,Acc14478.1
Acc14479,Acc14479.1
Acc14480,Acc14480.1
Acc14481,Acc14481.1
Acc14482,Acc14482.1
Acc14483,Acc14483.1
Acc14484,Acc14484.1
Acc14485,Acc14485.1
Acc14486,Acc14486.2
Acc14487,Acc14487.1
Acc14488,Acc14488.1
Acc14489,Acc14489.1
Acc14490,Acc14490.1
Acc14491,Acc14491.1
Acc14492,Acc14492.1
Acc14493,Acc14493.1
Acc14494,Acc14494.1
Acc14495,Acc14495.1
Acc14496,Acc14496.1
Acc14497,Acc14497.1
Acc14498,Acc14498.1
Acc14499,Acc14499.1
Acc14500,Acc14500.1
Acc14501,Acc14501.1
Acc14502,Acc14502.1
Acc14503,Acc14503.1
Acc14504,Acc14504.1
Acc14505,Acc14505.1
Acc14506,Acc14506.1
Acc14508,Acc14508.1
Acc14509,Acc14509.1
Acc14510,Acc14510.1
Acc14511,Acc14511.1
Acc14512,Acc14512.1
Acc14513,Acc14513.1
Acc14514,Acc14514.1
Acc14515,Acc14515.1
Acc14516,Acc14516.1
Acc14517,Acc14517.1
Acc14518,Acc14518.1
Acc14519,Acc14519.1
Acc14520,Acc14520.1
Acc14521,Acc14521.1
Acc14522,Acc14522.1
Acc14524,Acc14524.1
Acc14525,Acc14525.1
Acc14526,Acc14526.1
Acc14527,Acc14527.1
Acc14528,Acc14528.1
Acc14529,Acc14529.1
Acc14530,Acc14530.1
Acc14531,Acc14531.1
Acc14532,Acc14532.1
Acc14533,Acc14533.1
Acc14534,Acc14534.1
Acc14535,Acc14535.1
Acc14536,Acc14536.1
Acc14537,Acc14537.1
Acc14538,Acc14538.1
Acc14539,Acc14539.1
Acc14540,Acc14540.1
Acc14541,Acc14541.1
Acc14542,Acc14542.1
Acc14543,Acc14543.1
Acc14544,Acc14544.1
Acc14545,Acc14545.1
Acc14546,Acc14546.1
Acc14547,Acc14547.1
Acc14548,Acc14548.1
Acc14549,Acc14549.1
Acc14550,Acc14550.1
Acc14551,Acc14551.1
Acc14552,Acc14552.1
Acc14553,Acc14553.1
Acc14554,Acc14554.1
Acc14555,Acc14555.1
Acc14556,Acc14556.1
Acc14557,Acc14557.1
Acc14558,Acc14558.1
Acc14559,Acc14559.1
Acc14560,Acc14560.1
Acc14561,Acc14561.1
Acc14562,Acc14562.1
Acc14563,Acc14563.1
Acc14564,Acc14564.1
Acc14565,Acc14565.1
Acc14566,Acc14566.1
Acc14567,Acc14567.1
Acc14568,Acc14568.1
Acc14569,Acc14569.1
Acc14570,Acc14570.1
Acc14571,Acc14571.1
Acc14572,Acc14572.1
Acc14573,Acc14573.1
Acc14574,Acc14574.1
Acc14575,Acc14575.1
Acc14576,Acc14576.1
Acc14577,Acc14577.1
Acc14578,Acc14578.1
Acc14579,Acc14579.1
Acc14580,Acc14580.1
Acc14581,Acc14581.1
Acc14582,Acc14582.1
Acc14583,Acc14583.1
Acc14584,Acc14584.1
Acc14585,Acc14585.1
Acc14586,Acc14586.1
Acc14587,Acc14587.1
Acc14588,Acc14588.1
Acc14589,Acc14589.1
Acc14590,Acc14590.1
Acc14591,Acc14591.1
Acc14592,Acc14592.1
Acc14593,Acc14593.1
Acc14593,Acc14593.2
Acc14594,Acc14594.1
Acc14595,Acc14595.1
Acc14596,Acc14596.1
Acc14597,Acc14597.1
Acc14598,Acc14598.1
Acc14599,Acc14599.1
Acc14600,Acc14600.1
Acc14601,Acc14601.1
Acc14602,Acc14602.1
Acc14603,Acc14603.1
Acc14604,Acc14604.1
Acc14605,Acc14605.1
Acc14606,Acc14606.1
Acc14607,Acc14607.2
Acc14608,Acc14608.1
Acc14609,Acc14609.1
Acc14610,Acc14610.1
Acc14611,Acc14611.1
Acc14612,Acc14612.1
Acc14613,Acc14613.1
Acc14614,Acc14614.1
Acc14615,Acc14615.1
Acc14616,Acc14616.1
Acc14617,Acc14617.1
Acc14618,Acc14618.1
Acc14619,Acc14619.1
Acc14620,Acc14620.1
Acc14621,Acc14621.1
Acc14622,Acc14622.1
Acc14623,Acc14623.1
Acc14624,Acc14624.1
Acc14625,Acc14625.1
Acc14626,Acc14626.1
Acc14627,Acc14627.1
Acc14628,Acc14628.1
Acc14629,Acc14629.1
Acc14630,Acc14630.1
Acc14631,Acc14631.1
Acc14632,Acc14632.1
Acc14633,Acc14633.1
Acc14635,Acc14635.1
Acc14636,Acc14636.1
Acc14637,Acc14637.1
Acc14640,Acc14640.1
Acc14641,Acc14641.1
Acc14642,Acc14642.1
Acc14643,Acc14643.1
Acc14644,Acc14644.1
Acc14645,Acc14645.1
Acc14646,Acc14646.1
Acc14647,Acc14647.1
Acc14648,Acc14648.1
Acc14649,Acc14649.1
Acc14650,Acc14650.1
Acc14651,Acc14651.1
Acc14652,Acc14652.1
Acc14653,Acc14653.1
Acc14654,Acc14654.1
Acc14655,Acc14655.1
Acc14656,Acc14656.1
Acc14657,Acc14657.1
Acc14658,Acc14658.1
Acc14659,Acc14659.1
Acc14660,Acc14660.1
Acc14661,Acc14661.1
Acc14662,Acc14662.1
Acc14663,Acc14663.1
Acc14664,Acc14664.1
Acc14665,Acc14665.1
Acc14666,Acc14666.1
Acc14667,Acc14667.1
Acc14668,Acc14668.1
Acc14669,Acc14669.1
Acc14670,Acc14670.1
Acc14671,Acc14671.1
Acc14672,Acc14672.1
Acc14673,Acc14673.1
Acc14674,Acc14674.1
Acc14675,Acc14675.1
Acc14676,Acc14676.1
Acc14677,Acc14677.1
Acc14678,Acc14678.1
Acc14679,Acc14679.1
Acc14682,Acc14682.1
Acc14683,Acc14683.1
Acc14684,Acc14684.1
Acc14685,Acc14685.1
Acc14686,Acc14686.1
Acc14687,Acc14687.1
Acc14688,Acc14688.1
Acc14689,Acc14689.1
Acc14690,Acc14690.1
Acc14691,Acc14691.1
Acc14692,Acc14692.1
Acc14693,Acc14693.1
Acc14694,Acc14694.1
Acc14695,Acc14695.1
Acc14696,Acc14696.1
Acc14697,Acc14697.1
Acc14698,Acc14698.1
Acc14699,Acc14699.1
Acc14700,Acc14700.1
Acc14701,Acc14701.1
Acc14702,Acc14702.1
Acc14703,Acc14703.1
Acc14704,Acc14704.1
Acc14705,Acc14705.1
Acc14706,Acc14706.1
Acc14707,Acc14707.1
Acc14708,Acc14708.1
Acc14709,Acc14709.1
Acc14710,Acc14710.1
Acc14711,Acc14711.1
Acc14712,Acc14712.1
Acc14713,Acc14713.1
Acc14714,Acc14714.1
Acc14715,Acc14715.1
Acc14716,Acc14716.1
Acc14717,Acc14717.1
Acc14718,Acc14718.1
Acc14719,Acc14719.1
Acc14720,Acc14720.1
Acc14721,Acc14721.1
Acc14722,Acc14722.1
Acc14723,Acc14723.2
Acc14724,Acc14724.1
Acc14725,Acc14725.1
Acc14726,Acc14726.1
Acc14727,Acc14727.1
Acc14728,Acc14728.1
Acc14729,Acc14729.1
Acc14730,Acc14730.1
Acc14731,Acc14731.1
Acc14732,Acc14732.1
Acc14733,Acc14733.1
Acc14734,Acc14734.1
Acc14735,Acc14735.1
Acc14736,Acc14736.1
Acc14737,Acc14737.1
Acc14738,Acc14738.1
Acc14739,Acc14739.1
Acc14740,Acc14740.1
Acc14741,Acc14741.1
Acc14742,Acc14742.1
Acc14743,Acc14743.1
Acc14744,Acc14744.1
Acc14745,Acc14745.1
Acc14746,Acc14746.1
Acc14747,Acc14747.1
Acc14748,Acc14748.1
Acc14749,Acc14749.1
Acc14750,Acc14750.1
Acc14751,Acc14751.1
Acc14752,Acc14752.1
Acc14753,Acc14753.1
Acc14754,Acc14754.1
Acc14755,Acc14755.1
Acc14756,Acc14756.1
Acc14757,Acc14757.1
Acc14758,Acc14758.1
Acc14760,Acc14760.1
Acc14761,Acc14761.1
Acc14762,Acc14762.1
Acc14763,Acc14763.1
Acc14764,Acc14764.1
Acc14765,Acc14765.1
Acc14766,Acc14766.1
Acc14767,Acc14767.1
Acc14768,Acc14768.1
Acc14769,Acc14769.1
Acc14770,Acc14770.1
Acc14771,Acc14771.1
Acc14772,Acc14772.1
Acc14773,Acc14773.1
Acc14774,Acc14774.1
Acc14775,Acc14775.1
Acc14776,Acc14776.1
Acc14777,Acc14777.1
Acc14778,Acc14778.1
Acc14779,Acc14779.1
Acc14780,Acc14780.1
Acc14781,Acc14781.1
Acc14782,Acc14782.1
Acc14783,Acc14783.1
Acc14784,Acc14784.1
Acc14785,Acc14785.1
Acc14786,Acc14786.1
Acc14788,Acc14788.1
Acc14789,Acc14789.2
Acc14790,Acc14790.1
Acc14791,Acc14791.1
Acc14792,Acc14792.1
Acc14793,Acc14793.1
Acc14794,Acc14794.1
Acc14795,Acc14795.1
Acc14796,Acc14796.1
Acc14797,Acc14797.1
Acc14798,Acc14798.1
Acc14799,Acc14799.1
Acc14800,Acc14800.1
Acc14801,Acc14801.1
Acc14802,Acc14802.1
Acc14803,Acc14803.1
Acc14804,Acc14804.1
Acc14805,Acc14805.1
Acc14806,Acc14806.1
Acc14807,Acc14807.1
Acc14808,Acc14808.1
Acc14809,Acc14809.1
Acc14810,Acc14810.1
Acc14811,Acc14811.1
Acc14812,Acc14812.1
Acc14813,Acc14813.1
Acc14814,Acc14814.1
Acc14815,Acc14815.1
Acc14816,Acc14816.1
Acc14817,Acc14817.1
Acc14818,Acc14818.1
Acc14819,Acc14819.1
Acc14820,Acc14820.1
Acc14821,Acc14821.1
Acc14822,Acc14822.1
Acc14823,Acc14823.1
Acc14824,Acc14824.1
Acc14825,Acc14825.1
Acc14826,Acc14826.1
Acc14827,Acc14827.1
Acc14828,Acc14828.1
Acc14829,Acc14829.1
Acc14830,Acc14830.1
Acc14831,Acc14831.1
Acc14832,Acc14832.1
Acc14833,Acc14833.1
Acc14834,Acc14834.1
Acc14835,Acc14835.1
Acc14836,Acc14836.1
Acc14837,Acc14837.1
Acc14838,Acc14838.1
Acc14839,Acc14839.1
Acc14840,Acc14840.1
Acc14841,Acc14841.1
Acc14842,Acc14842.1
Acc14843,Acc14843.1
Acc14844,Acc14844.1
Acc14845,Acc14845.1
Acc14846,Acc14846.1
Acc14847,Acc14847.1
Acc14848,Acc14848.1
Acc14849,Acc14849.1
Acc14850,Acc14850.1
Acc14851,Acc14851.1
Acc14852,Acc14852.1
Acc14853,Acc14853.1
Acc14854,Acc14854.1
Acc14855,Acc14855.1
Acc14856,Acc14856.1
Acc14857,Acc14857.1
Acc14858,Acc14858.1
Acc14859,Acc14859.1
Acc14860,Acc14860.1
Acc14861,Acc14861.1
Acc14862,Acc14862.1
Acc14863,Acc14863.1
Acc14864,Acc14864.1
Acc14865,Acc14865.1
Acc14866,Acc14866.1
Acc14867,Acc14867.1
Acc14868,Acc14868.1
Acc14869,Acc14869.1
Acc14870,Acc14870.1
Acc14871,Acc14871.1
Acc14872,Acc14872.1
Acc14873,Acc14873.1
Acc14874,Acc14874.1
Acc14875,Acc14875.1
Acc14876,Acc14876.1
Acc14877,Acc14877.1
Acc14878,Acc14878.1
Acc14879,Acc14879.1
Acc14880,Acc14880.1
Acc14881,Acc14881.1
Acc14882,Acc14882.1
Acc14883,Acc14883.1
Acc14884,Acc14884.1
Acc14885,Acc14885.1
Acc14886,Acc14886.1
Acc14887,Acc14887.1
Acc14888,Acc14888.1
Acc14889,Acc14889.1
Acc14890,Acc14890.1
Acc14891,Acc14891.1
Acc14892,Acc14892.1
Acc14893,Acc14893.1
Acc14894,Acc14894.1
Acc14895,Acc14895.1
Acc14896,Acc14896.1
Acc14897,Acc14897.1
Acc14898,Acc14898.1
Acc14899,Acc14899.1
Acc14900,Acc14900.1
Acc14901,Acc14901.1
Acc14902,Acc14902.1
Acc14903,Acc14903.1
Acc14904,Acc14904.1
Acc14905,Acc14905.1
Acc14906,Acc14906.1
Acc14907,Acc14907.1
Acc14908,Acc14908.1
Acc14909,Acc14909.1
Acc14910,Acc14910.1
Acc14911,Acc14911.1
Acc14912,Acc14912.1
Acc14913,Acc14913.1
Acc14914,Acc14914.1
Acc14915,Acc14915.1
Acc14916,Acc14916.1
Acc14917,Acc14917.1
Acc14918,Acc14918.1
Acc14919,Acc14919.1
Acc14920,Acc14920.1
Acc14921,Acc14921.1
Acc14922,Acc14922.1
Acc14923,Acc14923.1
Acc14924,Acc14924.1
Acc14925,Acc14925.1
Acc14926,Acc14926.1
Acc14927,Acc14927.1
Acc14928,Acc14928.1
Acc14929,Acc14929.1
Acc14930,Acc14930.1
Acc14931,Acc14931.1
Acc14932,Acc14932.1
Acc14933,Acc14933.1
Acc14934,Acc14934.1
Acc14935,Acc14935.1
Acc14936,Acc14936.1
Acc14937,Acc14937.1
Acc14938,Acc14938.1
Acc14939,Acc14939.1
Acc14940,Acc14940.1
Acc14941,Acc14941.1
Acc14942,Acc14942.1
Acc14943,Acc14943.1
Acc14944,Acc14944.1
Acc14945,Acc14945.1
Acc14946,Acc14946.1
Acc14946,Acc14946.2
Acc14947,Acc14947.1
Acc14948,Acc14948.1
Acc14949,Acc14949.1
Acc14950,Acc14950.1
Acc14951,Acc14951.1
Acc14952,Acc14952.1
Acc14953,Acc14953.1
Acc14954,Acc14954.1
Acc14955,Acc14955.1
Acc14956,Acc14956.1
Acc14957,Acc14957.1
Acc14958,Acc14958.1
Acc14959,Acc14959.1
Acc14960,Acc14960.1
Acc14961,Acc14961.1
Acc14962,Acc14962.1
Acc14963,Acc14963.1
Acc14964,Acc14964.1
Acc14965,Acc14965.1
Acc14966,Acc14966.1
Acc14967,Acc14967.1
Acc14968,Acc14968.1
Acc14969,Acc14969.1
Acc14970,Acc14970.1
Acc14971,Acc14971.1
Acc14972,Acc14972.1
Acc14973,Acc14973.1
Acc14974,Acc14974.1
Acc14975,Acc14975.1
Acc14976,Acc14976.1
Acc14977,Acc14977.1
Acc14979,Acc14979.1
Acc14980,Acc14980.1
Acc14981,Acc14981.1
Acc14982,Acc14982.1
Acc14983,Acc14983.1
Acc14984,Acc14984.1
Acc14985,Acc14985.1
Acc14986,Acc14986.1
Acc14987,Acc14987.1
Acc14988,Acc14988.1
Acc14989,Acc14989.1
Acc14990,Acc14990.1
Acc14991,Acc14991.1
Acc14992,Acc14992.1
Acc14993,Acc14993.1
Acc14994,Acc14994.1
Acc14995,Acc14995.1
Acc14996,Acc14996.1
Acc14997,Acc14997.1
Acc14998,Acc14998.1
Acc14999,Acc14999.1
Acc15000,Acc15000.1
Acc15001,Acc15001.1
Acc15002,Acc15002.1
Acc15003,Acc15003.1
Acc15004,Acc15004.1
Acc15005,Acc15005.1
Acc15006,Acc15006.1
Acc15007,Acc15007.1
Acc15008,Acc15008.1
Acc15009,Acc15009.1
Acc15010,Acc15010.1
Acc15011,Acc15011.1
Acc15012,Acc15012.1
Acc15013,Acc15013.1
Acc15014,Acc15014.1
Acc15015,Acc15015.1
Acc15016,Acc15016.1
Acc15017,Acc15017.1
Acc15018,Acc15018.1
Acc15019,Acc15019.1
Acc15020,Acc15020.1
Acc15021,Acc15021.1
Acc15022,Acc15022.1
Acc15023,Acc15023.1
Acc15024,Acc15024.1
Acc15025,Acc15025.1
Acc15026,Acc15026.1
Acc15027,Acc15027.1
Acc15028,Acc15028.1
Acc15029,Acc15029.1
Acc15030,Acc15030.1
Acc15031,Acc15031.1
Acc15032,Acc15032.1
Acc15033,Acc15033.1
Acc15034,Acc15034.1
Acc15035,Acc15035.1
Acc15036,Acc15036.1
Acc15037,Acc15037.1
Acc15038,Acc15038.1
Acc15039,Acc15039.1
Acc15040,Acc15040.1
Acc15041,Acc15041.1
Acc15042,Acc15042.1
Acc15043,Acc15043.1
Acc15044,Acc15044.1
Acc15045,Acc15045.1
Acc15046,Acc15046.1
Acc15047,Acc15047.1
Acc15048,Acc15048.1
Acc15049,Acc15049.1
Acc15050,Acc15050.1
Acc15051,Acc15051.1
Acc15052,Acc15052.1
Acc15053,Acc15053.1
Acc15054,Acc15054.1
Acc15055,Acc15055.1
Acc15056,Acc15056.1
Acc15057,Acc15057.1
Acc15058,Acc15058.1
Acc15059,Acc15059.1
Acc15060,Acc15060.1
Acc15061,Acc15061.1
Acc15062,Acc15062.1
Acc15063,Acc15063.1
Acc15064,Acc15064.1
Acc15065,Acc15065.1
Acc15066,Acc15066.1
Acc15067,Acc15067.1
Acc15068,Acc15068.1
Acc15069,Acc15069.1
Acc15070,Acc15070.1
Acc15071,Acc15071.1
Acc15072,Acc15072.1
Acc15073,Acc15073.1
Acc15074,Acc15074.1
Acc15075,Acc15075.1
Acc15076,Acc15076.1
Acc15077,Acc15077.1
Acc15078,Acc15078.1
Acc15079,Acc15079.1
Acc15080,Acc15080.1
Acc15081,Acc15081.1
Acc15082,Acc15082.1
Acc15083,Acc15083.1
Acc15084,Acc15084.1
Acc15085,Acc15085.1
Acc15086,Acc15086.1
Acc15087,Acc15087.1
Acc15088,Acc15088.1
Acc15089,Acc15089.1
Acc15090,Acc15090.1
Acc15091,Acc15091.1
Acc15092,Acc15092.1
Acc15093,Acc15093.1
Acc15094,Acc15094.1
Acc15094,Acc15094.2
Acc15095,Acc15095.1
Acc15096,Acc15096.1
Acc15097,Acc15097.1
Acc15098,Acc15098.1
Acc15099,Acc15099.1
Acc15100,Acc15100.1
Acc15101,Acc15101.1
Acc15102,Acc15102.1
Acc15103,Acc15103.1
Acc15104,Acc15104.1
Acc15105,Acc15105.1
Acc15106,Acc15106.1
Acc15107,Acc15107.1
Acc15108,Acc15108.1
Acc15109,Acc15109.1
Acc15110,Acc15110.1
Acc15111,Acc15111.1
Acc15112,Acc15112.1
Acc15113,Acc15113.1
Acc15114,Acc15114.1
Acc15115,Acc15115.1
Acc15116,Acc15116.1
Acc15117,Acc15117.1
Acc15118,Acc15118.1
Acc15119,Acc15119.1
Acc15120,Acc15120.1
Acc15121,Acc15121.1
Acc15122,Acc15122.1
Acc15123,Acc15123.1
Acc15124,Acc15124.1
Acc15125,Acc15125.1
Acc15126,Acc15126.1
Acc15127,Acc15127.1
Acc15128,Acc15128.1
Acc15129,Acc15129.1
Acc15130,Acc15130.1
Acc15131,Acc15131.1
Acc15132,Acc15132.1
Acc15133,Acc15133.1
Acc15134,Acc15134.1
Acc15135,Acc15135.1
Acc15136,Acc15136.1
Acc15137,Acc15137.1
Acc15138,Acc15138.1
Acc15139,Acc15139.1
Acc15140,Acc15140.1
Acc15141,Acc15141.1
Acc15142,Acc15142.1
Acc15143,Acc15143.1
Acc15144,Acc15144.1
Acc15145,Acc15145.1
Acc15146,Acc15146.1
Acc15147,Acc15147.1
Acc15148,Acc15148.1
Acc15149,Acc15149.1
Acc15150,Acc15150.1
Acc15151,Acc15151.1
Acc15152,Acc15152.1
Acc15153,Acc15153.1
Acc15154,Acc15154.1
Acc15155,Acc15155.1
Acc15156,Acc15156.1
Acc15157,Acc15157.1
Acc15158,Acc15158.1
Acc15159,Acc15159.1
Acc15160,Acc15160.1
Acc15161,Acc15161.1
Acc15162,Acc15162.1
Acc15163,Acc15163.1
Acc15164,Acc15164.1
Acc15165,Acc15165.1
Acc15166,Acc15166.1
Acc15167,Acc15167.1
Acc15168,Acc15168.1
Acc15169,Acc15169.1
Acc15170,Acc15170.1
Acc15171,Acc15171.1
Acc15172,Acc15172.1
Acc15173,Acc15173.1
Acc15174,Acc15174.1
Acc15175,Acc15175.1
Acc15176,Acc15176.1
Acc15177,Acc15177.1
Acc15178,Acc15178.1
Acc15179,Acc15179.1
Acc15180,Acc15180.1
Acc15181,Acc15181.1
Acc15182,Acc15182.1
Acc15183,Acc15183.1
Acc15184,Acc15184.1
Acc15185,Acc15185.1
Acc15186,Acc15186.1
Acc15187,Acc15187.1
Acc15188,Acc15188.1
Acc15189,Acc15189.1
Acc15190,Acc15190.1
Acc15191,Acc15191.1
Acc15192,Acc15192.1
Acc15193,Acc15193.1
Acc15194,Acc15194.1
Acc15195,Acc15195.1
Acc15196,Acc15196.1
Acc15197,Acc15197.1
Acc15198,Acc15198.1
Acc15199,Acc15199.1
Acc15200,Acc15200.1
Acc15201,Acc15201.1
Acc15202,Acc15202.1
Acc15203,Acc15203.1
Acc15204,Acc15204.1
Acc15205,Acc15205.1
Acc15206,Acc15206.1
Acc15207,Acc15207.1
Acc15208,Acc15208.1
Acc15209,Acc15209.1
Acc15210,Acc15210.1
Acc15211,Acc15211.1
Acc15212,Acc15212.1
Acc15213,Acc15213.1
Acc15214,Acc15214.1
Acc15215,Acc15215.1
Acc15216,Acc15216.1
Acc15217,Acc15217.1
Acc15218,Acc15218.1
Acc15219,Acc15219.1
Acc15220,Acc15220.1
Acc15221,Acc15221.1
Acc15222,Acc15222.1
Acc15223,Acc15223.1
Acc15224,Acc15224.1
Acc15225,Acc15225.1
Acc15226,Acc15226.1
Acc15227,Acc15227.1
Acc15228,Acc15228.1
Acc15229,Acc15229.1
Acc15230,Acc15230.1
Acc15231,Acc15231.1
Acc15232,Acc15232.1
Acc15233,Acc15233.1
Acc15234,Acc15234.1
Acc15235,Acc15235.1
Acc15236,Acc15236.1
Acc15237,Acc15237.1
Acc15238,Acc15238.1
Acc15239,Acc15239.1
Acc15240,Acc15240.1
Acc15241,Acc15241.1
Acc15242,Acc15242.1
Acc15243,Acc15243.1
Acc15244,Acc15244.1
Acc15245,Acc15245.1
Acc15246,Acc15246.1
Acc15247,Acc15247.1
Acc15248,Acc15248.1
Acc15249,Acc15249.1
Acc15250,Acc15250.1
Acc15251,Acc15251.1
Acc15252,Acc15252.1
Acc15253,Acc15253.1
Acc15254,Acc15254.1
Acc15255,Acc15255.1
Acc15256,Acc15256.1
Acc15257,Acc15257.1
Acc15258,Acc15258.1
Acc15259,Acc15259.1
Acc15260,Acc15260.1
Acc15261,Acc15261.1
Acc15262,Acc15262.1
Acc15263,Acc15263.1
Acc15264,Acc15264.1
Acc15265,Acc15265.1
Acc15266,Acc15266.1
Acc15267,Acc15267.1
Acc15268,Acc15268.1
Acc15269,Acc15269.1
Acc15270,Acc15270.1
Acc15271,Acc15271.1
Acc15272,Acc15272.1
Acc15273,Acc15273.1
Acc15274,Acc15274.1
Acc15275,Acc15275.1
Acc15276,Acc15276.1
Acc15277,Acc15277.1
Acc15278,Acc15278.1
Acc15279,Acc15279.1
Acc15280,Acc15280.1
Acc15281,Acc15281.1
Acc15282,Acc15282.1
Acc15283,Acc15283.1
Acc15284,Acc15284.1
Acc15285,Acc15285.1
Acc15286,Acc15286.1
Acc15287,Acc15287.1
Acc15288,Acc15288.1
Acc15289,Acc15289.1
Acc15290,Acc15290.1
Acc15291,Acc15291.1
Acc15292,Acc15292.1
Acc15293,Acc15293.1
Acc15294,Acc15294.1
Acc15295,Acc15295.1
Acc15296,Acc15296.1
Acc15297,Acc15297.1
Acc15298,Acc15298.1
Acc15299,Acc15299.1
Acc15300,Acc15300.1
Acc15301,Acc15301.1
Acc15302,Acc15302.1
Acc15303,Acc15303.1
Acc15304,Acc15304.1
Acc15305,Acc15305.1
Acc15306,Acc15306.1
Acc15307,Acc15307.1
Acc15308,Acc15308.1
Acc15309,Acc15309.1
Acc15310,Acc15310.1
Acc15311,Acc15311.1
Acc15312,Acc15312.1
Acc15313,Acc15313.1
Acc15314,Acc15314.1
Acc15315,Acc15315.1
Acc15316,Acc15316.1
Acc15317,Acc15317.1
Acc15318,Acc15318.1
Acc15319,Acc15319.1
Acc15320,Acc15320.1
Acc15321,Acc15321.1
