	Photosynthesis	Cellular respiration	Carbohydrate metabolism	Amino acid metabolism	Lipid metabolism	Nucleotide metabolism	Coenzyme metabolism	Polyamine metabolism	Secondary metabolism	Redox homeostasis	Phytohormone action	Chromatin organisation	Cell cycle organisation	DNA damage response	RNA biosynthesis	RNA processing	Protein biosynthesis	Protein modification	Protein homeostasis	Cytoskeleton organisation	Cell wall organisation	Vesicle trafficking	Protein translocation	Solute transport	Nutrient uptake	External stimuli response	Multi-process regulation	not assigned	Enzyme classification
34	Acc26166.1	Acc26626.1	Acc14146.1	Acc25638.1	Acc06872.1	Acc16805.1	Acc29906.1	Acc22799.1	Acc29787.1	Acc04223.1	Acc00642.1	Acc31736.1	Acc12063.1	Acc21351.1	Acc16670.1	Acc14544.1	Acc14178.1	Acc23468.1	Acc25044.1	Acc32649.1	Acc02419.1	Acc10345.1	Acc05181.1	Acc01894.1	Acc13216.1	Acc21774.1	Acc16440.1	Acc00115.1	Acc08684.1
35	Acc30382.1	Acc09467.1	Acc13406.1	Acc27406.1	Acc13472.1	Acc20562.1	Acc14201.1	Acc22800.1	Acc06659.1	Acc27374.1	Acc11393.1	Acc32623.1	Acc12153.1	Acc21820.1	Acc31964.1	Acc18471.1	Acc14711.1	Acc29031.1	Acc19084.1	Acc29720.1	Acc16394.1	Acc10703.1	Acc24131.1	Acc15617.1	Acc23099.1	Acc26542.1	Acc31760.1	Acc00120.1	Acc08941.1
36	Acc32442.1	Acc15658.1	Acc17686.1	Acc00006.1	Acc20270.1	Acc25035.1	Acc22005.1	Acc27294.1	Acc10720.1	Acc19391.1	Acc12367.1	Acc14858.1	Acc19041.1	Acc04333.1	Acc09300.1	Acc17019.1	Acc16680.1	Acc29460.1	Acc08311.1	Acc31587.1	Acc18144.1	Acc18788.1	Acc26269.1	Acc16378.1	Acc20298.1	Acc16477.1	Acc17722.1	Acc00128.1	Acc09106.1
37	Acc15145.1	Acc17237.1	Acc22611.1	Acc14218.1	Acc22770.1	Acc18821.1	Acc32818.1	Acc33354.1	Acc30292.1	Acc30888.1	Acc12786.1	Acc20918.1	Acc19454.1	Acc25538.1	Acc16472.1	Acc15820.1	Acc25661.1	Acc09626.1	Acc01298.1	Acc16453.1	Acc28761.1	Acc33220.1	Acc02253.1	Acc28800.1	Acc00774.1	Acc31785.1	Acc22286.1	Acc00130.1	Acc09959.1
38	Acc25594.1	Acc16476.1	Acc19909.1	Acc32804.1	Acc28986.1	Acc33494.1	Acc12209.1	Acc33355.1	Acc15645.1	Acc33298.1	Acc12985.1	Acc25392.1	Acc20604.1	Acc27259.1	Acc17074.1	Acc19878.1	Acc31972.1	Acc08578.1	Acc02577.1	Acc03737.1	Acc29791.1	Acc00649.1	Acc05487.1	Acc15152.1	Acc01490.1	Acc02073.1	Acc22598.1	Acc00131.1	Acc10485.1
39	Acc31743.1	Acc10128.1	Acc27954.1	Acc06700.1	Acc29420.1	Acc00674.1	Acc22052.1	Acc09291.1	Acc20047.1	Acc20521.1	Acc23353.1	Acc25885.1	Acc21045.1	Acc07774.1	Acc26475.1	Acc01776.1	Acc32842.1	Acc24866.1	Acc03226.1	Acc27756.1	Acc30630.1	Acc15438.1	Acc08061.1	Acc19505.1	Acc02752.1	Acc04910.1	Acc22598.2	Acc00132.1	Acc10511.1
40	Acc11380.1	Acc28271.1	Acc04550.1	Acc21272.1	Acc07533.1	Acc02205.1	Acc26802.1	Acc17065.1	Acc25944.1	Acc25010.1	Acc00494.1	Acc30251.1	Acc21097.1	Acc03571.1	Acc01120.1	Acc02984.1	Acc22543.1	Acc06088.1	Acc10892.1	Acc08762.1	Acc08067.1	Acc22475.1	Acc12640.1	Acc03803.1	Acc10134.1	Acc23944.1	Acc26948.1	Acc00141.1	Acc10512.1
41	Acc12357.1	Acc30482.1	Acc05177.1	Acc02541.1	Acc15505.1	Acc02920.1	Acc01001.1	Acc05329.1	Acc33463.1	Acc21171.1	Acc05911.1	Acc32161.1	Acc23775.1	Acc13476.1	Acc08704.1	Acc11716.1	Acc28591.1	Acc07022.1	Acc20361.1	Acc23108.1	Acc11677.1	Acc11923.1	Acc18269.1	Acc05167.1	Acc12751.1	Acc00509.1	Acc28640.1	Acc00146.1	Acc10513.1
42	Acc12972.1	Acc00638.1	Acc07110.1	Acc04378.1	Acc15930.1	Acc03342.1	Acc19643.1	Acc13865.1	Acc07015.1	Acc23112.1	Acc10231.1	Acc32306.1	Acc23775.2	Acc19106.1	Acc00978.1	Acc12110.1	Acc32751.1	Acc31057.1	Acc24171.1	Acc14742.1	Acc12161.1	Acc11964.1	Acc26696.1	Acc08488.1	Acc17713.1	Acc00833.1	Acc29108.1	Acc00150.1	Acc12618.1
43	Acc23369.1	Acc09891.1	Acc07278.1	Acc13419.1	Acc20107.1	Acc05572.1	Acc31616.1	Acc18951.1	Acc21002.1	Acc26426.1	Acc18756.1	Acc32314.1	Acc23807.1	Acc14417.1	Acc33046.1	Acc18428.1	Acc09179.1	Acc14651.1	Acc20896.1	Acc25723.1	Acc12162.1	Acc24343.1	Acc02678.1	Acc27617.1	Acc03035.1	Acc01682.1	Acc29518.1	Acc00153.1	Acc12829.1
44	Acc28230.1	Acc17468.1	Acc08050.1	Acc26322.1	Acc20771.1	Acc05572.2	Acc31283.1	Acc24230.1	Acc07158.1	Acc18896.1	Acc21808.1	Acc01196.1	Acc23897.1	Acc32634.1	Acc06989.1	Acc29338.1	Acc19818.1	Acc29990.1	Acc20897.1	Acc21626.1	Acc24056.1	Acc24344.1	Acc03440.1	Acc08412.1	Acc13916.1	Acc02924.1	Acc00921.1	Acc00155.1	Acc12830.1
45	Acc33576.1	Acc20553.1	Acc11463.1	Acc27327.1	Acc25223.1	Acc08243.1	Acc22548.1	Acc09847.1	Acc10832.1	Acc00907.1	Acc26576.1	Acc04581.1	Acc25062.1	Acc32637.1	Acc32686.1	Acc07031.1	Acc13695.1	Acc32035.1	Acc25367.1	Acc26329.1	Acc00188.1	Acc29287.1	Acc03441.1	Acc16945.1	Acc18908.1	Acc04806.1	Acc01573.1	Acc00156.1	Acc13501.1
46	Acc14243.1	Acc22559.1	Acc12236.1	Acc33347.1	Acc24113.1	Acc11447.1	Acc30238.1	Acc13003.1	Acc06087.1	Acc09796.1	Acc30889.1	Acc04895.1	Acc30987.1	Acc30439.1	Acc12787.1	Acc11626.1	Acc19485.1	Acc09888.1	Acc18335.1	Acc02281.1	Acc08847.1	Acc01633.1	Acc15671.1	Acc00306.1	Acc22456.1	Acc06434.1	Acc09820.1	Acc00160.1	Acc14176.1
47	Acc32781.1	Acc32186.1	Acc15916.1	Acc28301.1	Acc28519.1	Acc18040.1	Acc32304.1	Acc23331.1	Acc23677.1	Acc15468.1	Acc31180.1	Acc05419.1	Acc16040.1	Acc07676.1	Acc17676.1	Acc12217.1	Acc06927.1	Acc13064.1	Acc29318.1	Acc04037.1	Acc02291.1	Acc02879.1	Acc20024.1	Acc06774.1	Acc22545.1	Acc07054.1	Acc12802.1	Acc00161.1	Acc14605.1
