,Read	HTSeq,HTSeq,HTSeq,HTSeq
,Actinidia00325.t1	27,56,27,30
,Actinidia00326.t1	169,155,102,133
,Actinidia00327.t2	891,971,806,647
,Actinidia00328.t1	5347,6280,4084,2917
,Actinidia00329.t1	1416,1765,1118,662
,Actinidia00330.t1	636,654,500,271
,Actinidia00331.t2	1995,2615,1758,1276
,Actinidia00332.t1	1098,1358,892,771
,Actinidia00333.t1	862,1017,691,624
,Actinidia00334.t1	0,1,0,0
,Actinidia00335.t1	2456,3325,2214,1511
,Actinidia00336.t1	119,151,74,1662
,Actinidia00337.t1	788,957,631,520
,Actinidia00338.t1	1935,2496,1702,1412
,Actinidia00339.t1	83,119,112,70
,Actinidia00340.t1	78,103,72,163
,Actinidia00341.t1	21,29,19,11
,Actinidia00342.t1	388,570,444,574
,Actinidia00343.t1	241,749,555,167
,Actinidia00344.t1	0,0,0,0
,Actinidia00345.t1	0,0,0,0
,Actinidia00346.t1	0,0,0,0
,Actinidia00347.t1	280,280,264,260
,Actinidia00348.t1	257,363,263,263
,Actinidia00349.t1	274,291,209,229
,Actinidia00350.t1	109,147,71,100
,Actinidia00351.t1	14726,19466,12615,10485
,Actinidia00352.t1	1032,1314,842,366
,Actinidia00353.t1	31,52,29,46
,Actinidia00354.t1	734,901,690,1746
,Actinidia00355.t1	1060,1248,817,620
,Actinidia00356.t1	2,6,6,10
,Actinidia00357.t7	3,1,3,4
,Actinidia00358.t1	66,78,35,0
,Actinidia00359.t1	66,42,40,2
,Actinidia00360.t1	133,110,92,36
,Actinidia00361.t1	37,74,55,68
,Actinidia00362.t1	26,36,29,47
,Actinidia00363.t1	3,13,5,13
,Actinidia00364.t1	90,203,138,32
,Actinidia00365.t1	635,776,626,459
,Actinidia00366.t1	2630,3236,2276,1308
,Actinidia00367.t1	197,210,198,120
,Actinidia00368.t1	209,302,236,273
,Actinidia00369.t1	2,3,1,1
,Actinidia00370.t1	0,0,0,0
,Actinidia00371.t1	0,0,0,0
,Actinidia00372.t3	2436,3228,2055,1636
,Actinidia00373.t1	0,0,0,0
,Actinidia00374.t1	2,1,2,5
,Actinidia00375.t1	32,62,48,16
,Actinidia00376.t1	249,309,187,165
,Actinidia00377.t1	7028,9320,6103,5138
,Actinidia00378.t1	0,0,0,0
,Actinidia00379.t1	3366,4389,3045,2880
,Actinidia00380.t1	35,111,38,17
,Actinidia00381.t1	1875,2269,1426,976
,Actinidia00382.t1	392,611,354,381
,Actinidia00383.t1	1003,1143,848,440
,Actinidia00384.t1	4,6,3,1
,Actinidia00385.t1	2368,3170,2209,1559
,Actinidia00386.t1	157,180,139,64
,Actinidia00387.t1	197,298,196,108
,Actinidia00388.t1	11934,16067,11189,5538
,Actinidia00389.t1	11,18,0,10
,Actinidia00390.t1	13,21,5,23
,Actinidia00391.t1	267,483,296,200
,Actinidia00392.t1	366,630,376,367
,Actinidia00393.t1	1073,1347,971,590
,Actinidia00394.t1	1125,1704,1009,701
,Actinidia00395.t1	134,230,176,76
,Actinidia00396.t1	107,155,97,77
,Actinidia00397.t1	3984,7947,4072,4628
,Actinidia00398.t1	277,362,282,225
,Actinidia00399.t1	1009,1232,857,525
,Actinidia00400.t1	166,239,159,95
,Actinidia00401.t1	863,1272,795,647
,Actinidia00402.t1	672,1162,745,857
,Actinidia00403.t1	82,53,39,124
,Actinidia00404.t1	25,31,24,26
,Actinidia00405.t1	3119,3933,2519,19
,Actinidia00406.t1	7182,9907,6748,5262
,Actinidia00407.t1	2129,2933,2005,1152
,Actinidia00408.t1	1429,1329,816,233
,Actinidia00409.t1	2232,2830,1930,366
,Actinidia00410.t1	605,709,567,578
,Actinidia00411.t1	1,1,1,3
,Actinidia00412.t1	3845,5148,3344,2811
,Actinidia00413.t1	2104,2997,2048,4935
,Actinidia00414.t1	1508,4013,1764,2391
,Actinidia00415.t1	2877,3604,2628,1660
,Actinidia00416.t1	7127,10274,6209,3114
,Actinidia00417.t2	16003,19684,14290,3918
,Actinidia00418.t1	0,2,5,1
,Actinidia00419.t1	97,121,107,163
,Actinidia00420.t1	15,34,7,2286
,Actinidia00421.t1	409,490,380,369
,Actinidia00422.t1	5901,7095,4828,2768
,Actinidia00423.t1	2443,3277,2272,1961
,Actinidia00424.t1	4679,6609,4313,10773
,Actinidia00425.t1	5418,7621,4772,4465
,Actinidia00426.t1	1026,1316,909,1095
,Actinidia00427.t1	522,853,437,511
,Actinidia00428.t1	3613,8349,4931,3299
,Actinidia00429.t1	9,9,1,0
,Actinidia00430.t1	719,929,626,934
,Actinidia00431.t1	402,529,307,975
,Actinidia00432.t1	125,193,95,92
,Actinidia00433.t1	559,665,461,358
,Actinidia00434.t1	4210,5218,3660,1019
,Actinidia00435.t1	8,11,3,1
